traversal_achieved,total_climb_points,event,match,alliance_color,teams,auto_points,endgame_points,description
True,55,2026cosp,2026cosp_qm12,blue,"frc2996,frc4068,frc3807",15,40,"event=2026cosp match=2026cosp_qm12 BLUE teams=frc2996,frc4068,frc3807 – auto tower 15 (R1=Level1, R2=None, R3=None), endgame tower 40 (R1=Level3, R2=Level1, R3=None) [TRAVERSAL RP]"
True,55,2026mndu,2026mndu_qm35,red,"frc7797,frc3926,frc3130",15,40,"event=2026mndu match=2026mndu_qm35 RED teams=frc7797,frc3926,frc3130 – auto tower 15 (R1=Level1, R2=None, R3=None), endgame tower 40 (R1=Level1, R2=None, R3=Level3) [TRAVERSAL RP]"
True,50,2026brba,2026brba_qm71,blue,"frc9169,frc9110,frc9460",30,20,"event=2026brba match=2026brba_qm71 BLUE teams=frc9169,frc9110,frc9460 – auto tower 30 (R1=Level1, R2=Level1, R3=None), endgame tower 20 (R1=Level1, R2=Level1, R3=None) [TRAVERSAL RP]"
True,50,2026cosp,2026cosp_qm50,red,"frc2996,frc4944,frc4499",0,50,"event=2026cosp match=2026cosp_qm50 RED teams=frc2996,frc4944,frc4499 – auto tower 0 (R1=None, R2=None, R3=None), endgame tower 50 (R1=Level3, R2=None, R3=Level2) [TRAVERSAL RP]"
True,50,2026okok,2026okok_qm60,blue,"frc10661,frc1939,frc5889",30,20,"event=2026okok match=2026okok_qm60 BLUE teams=frc10661,frc1939,frc5889 – auto tower 30 (R1=None, R2=Level1, R3=Level1), endgame tower 20 (R1=None, R2=Level1, R3=Level1) [TRAVERSAL RP]"
False,45,2026brba,2026brba_qm30,red,"frc9166,frc9459,frc9200",15,30,"event=2026brba match=2026brba_qm30 RED teams=frc9166,frc9459,frc9200 – auto tower 15 (R1=None, R2=Level1, R3=None), endgame tower 30 (R1=None, R2=Level3, R3=None)"
False,45,2026mefal,2026mefal_qm15,red,"frc7407,frc4473,frc190",15,30,"event=2026mefal match=2026mefal_qm15 RED teams=frc7407,frc4473,frc190 – auto tower 15 (R1=Level1, R2=None, R3=None), endgame tower 30 (R1=None, R2=None, R3=Level3)"
False,45,2026mndu,2026mndu_qm16,red,"frc3130,frc3267,frc2847",15,30,"event=2026mndu match=2026mndu_qm16 RED teams=frc3130,frc3267,frc2847 – auto tower 15 (R1=None, R2=Level1, R3=None), endgame tower 30 (R1=None, R2=Level3, R3=None)"
False,45,2026mndu,2026mndu_qm28,red,"frc7797,frc2181,frc4624",15,30,"event=2026mndu match=2026mndu_qm28 RED teams=frc7797,frc2181,frc4624 – auto tower 15 (R1=Level1, R2=None, R3=None), endgame tower 30 (R1=None, R2=Level3, R3=None)"
False,45,2026okok,2026okok_qm4,blue,"frc4766,frc5889,frc31",15,30,"event=2026okok match=2026okok_qm4 BLUE teams=frc4766,frc5889,frc31 – auto tower 15 (R1=None, R2=Level1, R3=None), endgame tower 30 (R1=Level1, R2=Level2, R3=None)"
