rank,team_key,team_number,total_climb_points,auto_climbs,endgame_level1_climbs,endgame_level2_climbs,endgame_level3_climbs
1,frc1501,1501,335,13,14,0,0
2,frc4663,4663,305,13,11,0,0
3,frc8532,8532,305,9,5,6,0
4,frc2689,2689,300,14,9,0,0
5,frc190,190,280,0,2,1,8
6,frc3267,3267,270,8,9,0,2
7,frc8331,8331,265,7,2,7,0
8,frc5889,5889,265,9,5,4,0
9,frc10291,10291,245,11,8,0,0
10,frc2890,2890,245,9,11,0,0
11,frc7797,7797,240,10,9,0,0
12,frc4575,4575,240,4,12,0,2
13,frc359,359,235,13,4,0,0
14,frc5136,5136,225,7,12,0,0
15,frc2996,2996,225,1,3,0,6
16,frc5152,5152,220,10,7,0,0
17,frc9169,9169,180,8,6,0,0
18,frc6033,6033,180,8,6,0,0
19,frc4561,4561,180,8,6,0,0
20,frc10428,10428,180,0,18,0,0
21,frc9110,9110,170,6,8,0,0
22,frc8044,8044,170,8,5,0,0
23,frc4766,4766,170,6,8,0,0
24,frc709,709,170,2,0,7,0
25,frc1148,1148,165,3,12,0,0
26,frc539,539,165,3,12,0,0
27,frc61,61,160,4,10,0,0
28,frc9450,9450,160,10,1,0,0
29,frc9459,9459,155,3,8,0,1
30,frc10114,10114,155,9,2,0,0
31,frc175,175,150,0,9,0,2
32,frc1024,1024,145,7,4,0,0
33,frc3128,3128,140,8,2,0,0
34,frc5468,5468,140,4,5,0,1
35,frc4859,4859,130,6,4,0,0
36,frc1156,1156,120,6,3,0,0
37,frc3130,3130,120,0,9,0,1
38,frc2202,2202,120,0,12,0,0
39,frc3418,3418,120,4,6,0,0
40,frc2867,2867,110,0,11,0,0
41,frc4065,4065,110,0,11,0,0
42,frc4638,4638,110,4,5,0,0
43,frc3255,3255,105,7,0,0,0
44,frc1359,1359,105,3,6,0,0
45,frc9584,9584,100,0,4,0,2
46,frc6081,6081,100,0,10,0,0
47,frc5348,5348,100,0,10,0,0
48,frc6894,6894,100,0,10,0,0
49,frc10014,10014,100,0,7,0,1
50,frc4944,4944,90,0,9,0,0
51,frc1939,1939,90,2,3,0,1
52,frc7407,7407,85,5,1,0,0
53,frc8300,8300,85,3,4,0,0
54,frc3883,3883,85,1,7,0,0
55,frc4181,4181,85,5,1,0,0
56,frc7688,7688,80,2,5,0,0
57,frc5900,5900,80,0,6,1,0
58,frc2181,2181,80,0,2,0,2
59,frc3142,3142,80,0,8,0,0
60,frc2501,2501,75,1,6,0,0
61,frc7033,7033,70,0,7,0,0
62,frc9458,9458,70,0,7,0,0
63,frc8397,8397,70,2,4,0,0
64,frc486,486,70,0,7,0,0
65,frc10979,10979,70,0,4,0,1
66,frc11416,11416,70,0,7,0,0
67,frc3197,3197,70,4,1,0,0
68,frc9164,9164,60,0,6,0,0
69,frc4499,4499,60,0,4,1,0
70,frc9431,9431,60,0,6,0,0
71,frc8013,8013,60,0,1,1,1
72,frc1706,1706,60,0,6,0,0
73,frc10070,10070,60,0,4,1,0
74,frc7900,7900,60,0,6,0,0
75,frc2473,2473,50,0,5,0,0
76,frc6772,6772,50,0,5,0,0
77,frc11336,11336,50,0,5,0,0
78,frc8373,8373,50,0,5,0,0
79,frc8516,8516,50,0,5,0,0
80,frc3637,3637,50,0,5,0,0
81,frc2383,2383,50,0,5,0,0
82,frc2811,2811,50,0,5,0,0
83,frc272,272,50,0,5,0,0
84,frc2881,2881,50,2,2,0,0
85,frc131,131,50,0,2,0,1
86,frc1091,1091,50,0,5,0,0
87,frc10120,10120,45,1,3,0,0
88,frc5484,5484,40,0,4,0,0
89,frc1307,1307,40,0,4,0,0
90,frc7197,7197,40,0,4,0,0
91,frc4687,4687,40,0,4,0,0
92,frc4226,4226,40,0,4,0,0
93,frc7531,7531,40,0,4,0,0
94,frc41,41,40,0,4,0,0
95,frc9079,9079,40,0,4,0,0
96,frc5243,5243,40,0,4,0,0
97,frc3494,3494,35,1,2,0,0
98,frc10427,10427,30,0,3,0,0
99,frc4068,4068,30,0,3,0,0
100,frc447,447,30,0,3,0,0
101,frc3102,3102,30,0,0,0,1
102,frc6502,6502,30,0,3,0,0
103,frc753,753,30,0,0,0,1
104,frc6808,6808,30,0,3,0,0
105,frc492,492,30,0,3,0,0
106,frc2557,2557,30,0,3,0,0
107,frc5000,5000,25,1,1,0,0
108,frc7565,7565,20,0,2,0,0
109,frc9162,9162,20,0,2,0,0
110,frc9085,9085,20,0,2,0,0
111,frc1678,1678,20,0,2,0,0
112,frc3623,3623,20,0,2,0,0
113,frc858,858,20,0,2,0,0
114,frc11386,11386,20,0,2,0,0
115,frc5658,5658,20,0,2,0,0
116,frc4635,4635,20,0,2,0,0
117,frc4533,4533,20,0,2,0,0
118,frc4099,4099,20,0,2,0,0
119,frc6381,6381,20,0,2,0,0
120,frc8701,8701,20,0,2,0,0
121,frc3990,3990,15,1,0,0,0
122,frc5968,5968,15,1,0,0,0
123,frc8338,8338,10,0,1,0,0
124,frc9465,9465,10,0,1,0,0
125,frc2584,2584,10,0,1,0,0
126,frc6358,6358,10,0,1,0,0
127,frc8046,8046,10,0,1,0,0
128,frc1502,1502,10,0,1,0,0
129,frc3656,3656,10,0,1,0,0
130,frc2847,2847,10,0,1,0,0
131,frc3298,3298,10,0,1,0,0
132,frc4534,4534,10,0,1,0,0
133,frc4828,4828,10,0,1,0,0
134,frc9001,9001,10,0,1,0,0
135,frc436,436,10,0,1,0,0
136,frc1908,1908,10,0,1,0,0
137,frc6421,6421,10,0,1,0,0
